Sr. No.,BarCode,Parent Barcode,HSN/SAC,Item Name,MRP per quantity,Price (Rs),Suggested Profit Per Quantity,Suggested Profit,Paid Cost per quantity,Quantity,Total Value(Incl.of Tax)(Rs),Selling per quantity,Profit Per Quantity,Profit,,Suggested Profit Percent,Profit Percent,,Suggested Profit Total,Auctual Profit,
,8901030996122,,,Dove Intense Repair,930,,,,,,,830,,,,,,,,,
,8904012805412,,,Shanthala Agarbathi ,6,,,,,,,6,,,,,,,,,
,8901023028748,,,Godrej rich creme ,15,,,,,,,15,,,,,,,,,
,8901063092860,,,GoodDay Cashew Almond,5,,,,,,,5,,,,,,,,,
,8909106015876,,,Horlicks,10,,,,,,,10,,,,,,,,,
,7622202026683,,,Bourvita ,30,,,,,,,30,,,,,,,,,
,8901324057683,,,Apsara Matt Magic,70,,,,,,,70,,,,,,,,,
,8908021161316,,,"Kitchen Lites, Match box",10,,,,,,,10,,,,,,,,,
,8909106018372,,,Boost,10,,,,,,,10,,,,,,,,,
,8908000674035,,,Arasan Soap bar,26.5,,,,,,,25,,,,,,,,,
,8901314507327,,,Colgate Zig Zag toot brush ,30,,,,,,,29,,,,,,,,,
,8901314507327,,,Colgate Zig Zag toot brush ,35,,,,,,,30,,,,,,,,,
,8901314878427,,,Colgate Gentle clean,40,,,,,,,38,,,,,,,,,
,8901314537669,,,Colgate Zigzag Charcoal,40,,,,,,,38,,,,,,,,,
,8906010261078,,,Gold winner Refined sunflower oil,170,,,,,,,150,,,,,,,,,
,8906032010012,,,Ruchi gold ,165,,,,,,,140,,,,,,,,,
,8908000502017,,,Sunpure,185,,,,,,,150,,,,,,,,,
,8901595862726,,,Dark soy Sauce,60,,,,,,,58,,,,,,,,,
,8901595862733,,,Green chilli sauce chings,60,,,,,,,57,,,,,,,,,
,8901246007483,,,Brewed Vinegar Del Monte,60,,,,,,,57,,,,,,,,,
,8904320002251,,,White Vinegar,150,,,,,,,146,,,,,,,,,
,8901030902932,,,"Fresh tomato Ketchup, 850g",120,,,,,,,110,,,,,,,,,
,8901246005373,,,Tomato ketchup Del monte,130,,,,,,,120,,,,,,,,,
,8906036670090,,,Orange milk,27,,,,,,,27,,,,,,,,,
,8906036670014,,,Blue milk,24,,,,,,,24,,,,,,,,,
,8906036674739,,,Green milk 200,12,,,,,,,12,,,,,,,,,
,8906036670205,,,curd 200,12,,,,,,,12,,,,,,,,,
,8906036670212,,,curd 500,26,,,,,,,26,,,,,,,,,
,8906036674524,,,Nandini Paneer 200,100,,,,,,,99,,,,,,,,,
,8902579001438,,,Appy,10,,,,,,,10,,,,,,,,,
,8901396324584,,,Detol Handwash,99,,,,,,,97,,,,,,,,,
,8901314200044,,,Brush,20,,,,,,,20,,,,,,,,,
,8906036670861,,,Nandini Ghee 200 ml,141,,,,,,,140,,,,,,,,,
,8906036670878,,,Nandini Ghee 500 ml,315,,,,,,,304,,,,,,,,,
